story,event_index,nl2p_verb,nl2p_arguments,inferred_argument_types,matched_constants,best_pddl_action,name_similarity,pddl_parameter_types,type_overlap
The Three Little Pigs,45,ate,the wolf,entity,wolf,wolf_eats_pig,1.0,entity | entity | location,0.5
The Four Skillful Brothers,1,took,their sticks,item,sticks,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,2,went through,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,3,came to,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,4,went,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,5,met,a man,unknown,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,6,met,a man,unknown,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,7,gave,a telescope,item,telescope,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,8,gave,a gun,item,gun,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,9,met,a man,unknown,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,10,went with,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,11,learnt,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,12,gave,a needle,item,needle,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,13,arrived,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,14,returned,,,,return_home_with_princess,0.667,entity,
The Four Skillful Brothers,15,took,his glass,unknown,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,16,climbed,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,17,took,the five eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,18,brought,the five eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,19,took,the five eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,20,put,the eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,21,put,the fifth egg,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,22,shot,the five eggs,item,eggs,shoot_dragon,1.0,entity,0.0
The Four Skillful Brothers,23,brought,his needle,item,needle,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,24,sewed,the eggs | the young birds,item | unknown,eggs | ,sew_eggs,0.667,entity,0.0
The Four Skillful Brothers,25,climbed,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,26,carried,the eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,27,put back,the eggs,item,eggs,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,28,carried off,the King's daughter,entity,king,swim_after_ship_break,0.0,entity,1.0
The Four Skillful Brothers,29,looked through,his telescope,item,telescope,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,30,went,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,31,sailed,,,,sail_to_rock,0.667,entity,
The Four Skillful Brothers,32,came to,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,33,crept,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,34,stole away,the King's daughter,entity,king,steal_princess,0.667,entity,1.0
The Four Skillful Brothers,35,went on board,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,36,steered,the ship,item,ship,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,37,followed,,,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,38,shot,the dragon,entity,dragon,shoot_dragon,1.0,entity,1.0
The Four Skillful Brothers,39,shattered,the whole ship,item,ship,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,40,laid hold of,a couple of planks,item,planks,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,41,swam,,,,swim_after_ship_break,0.4,entity,
The Four Skillful Brothers,42,took,his wondrous needle,item,needle,swim_after_ship_break,0.0,entity,0.0
The Four Skillful Brothers,43,sewed together,the planks,item,planks,sew_eggs,0.5,entity,0.0
The Four Skillful Brothers,44,collected together,all the fragments of the vessel,unknown,,swim_after_ship_break,0.0,entity,
The Four Skillful Brothers,45,sewed together,the fragments of the vessel,unknown,,sew_eggs,0.5,entity,
The Four Skillful Brothers,46,received,half a kingdom,location,kingdom,swim_after_ship_break,0.0,entity,0.0
